Predicted_Temperature_C,Actual_Temperature_C
6.913281140179002,7.6
9.128718108283685,7.5
8.118606112387397,7.9
12.976757263094719,13.0
7.938903963970446,8.4
11.603113146553106,11.8
9.746072330288278,10.9
2.561007003597645,3.6
10.494633820189883,11.4
19.39207216946604,18.7
11.736009055723848,12.5
10.650076192120267,10.3
12.849571128038754,12.9
17.377624628416115,16.9
7.0413601130287375,8.4
17.551249872220076,17.0
12.866963461172624,12.7
1.9004516072871525,2.8
0.8191386566601224,2.4
9.208039094485748,10.2
4.036532824246372,4.1
10.388435226121047,10.5
7.088498619239402,7.6
14.62870565735843,13.8
18.967151077167564,17.3
12.53819511546233,12.5
9.263325248853732,10.1
2.244679056634901,2.7
6.979841183617211,6.0
-4.15874379685966,-2.2
8.650828682552145,9.7
8.903134159561766,8.5
15.558872038777523,14.2
10.16792737768516,9.8
16.119185670472078,16.5
11.706713894107047,12.7
10.421276349534736,11.0
13.741108979648978,13.3
8.591124572308381,9.5
12.410423728150704,12.1
1.0811331452602246,1.7
11.993158052597948,11.9
10.668483945091815,11.3
24.7857748405711,23.8
12.080446318628958,12.3
14.574421091955905,14.4
6.114789753118991,6.3
13.526332517450193,13.3
10.73856676981211,9.5
7.5990692338078745,7.8
10.03982226071551,10.5
11.595694604633344,10.5
15.235655705267796,14.6
5.75298252294823,5.9
8.339672298866859,8.6
12.493129049769848,12.8
6.918515526789896,7.6
2.1046787768095285,3.9
8.619905787809678,10.2
8.568817542986594,9.6
1.164562928430449,1.9
9.787497688992438,9.5
9.92142030066691,11.0
14.805521265267203,13.6
15.322994879763023,13.9
8.119880664130442,9.4
9.581600964599922,10.2
14.423756685639376,15.2
5.922116018989421,5.4
8.669328519743388,7.9
14.935043575377946,14.5
12.665224783836123,12.8
11.54800687677993,11.2
6.533380175416632,7.3
12.502207732518961,13.2
18.965602353434,18.7
-3.7525916484384823,-1.9
20.623856178925813,20.3
5.654691307409593,6.4
8.519306972638837,8.1
6.7041682632004225,7.9
17.366365721363202,17.9
14.953209861225602,15.3
6.429723258567954,6.0
15.60807925872274,14.2
3.4994283455976145,4.2
0.9334676123238097,2.3
13.36712137572539,13.1
12.883682174976414,13.3
8.804320722164348,10.2
18.889707036078008,18.4
11.70259057499684,11.9
11.418841573700938,11.6
16.819497525578548,17.2
5.967051910283907,7.5
10.766728068900619,11.1
9.437879379863091,9.7
11.733505229750051,11.8
19.303715074432994,18.3
8.17606899535319,7.7
7.093219222434406,5.7
